path,owner,bytes,physical_lines,code_lines,classification,is_rust,embedded_test_lines
crates/arcweft-bundle/tests/view_focus_navigation_resources.rs,arcweft-bundle,3286,83,80,test,true,0
crates/arcweft-bundle/tests/view_product_validation.rs,arcweft-bundle,14256,408,374,test,true,0
crates/arcweft-bundle/tests/view_resource_codecs.rs,arcweft-bundle,67422,1806,1692,test,true,0
crates/arcweft-bundle/tests/view_runtime_text_controls.rs,arcweft-bundle,10145,291,277,test,true,0
crates/arcweft-bundle/tests/view_style_environment_codec.rs,arcweft-bundle,47658,1308,1226,test,true,0
crates/arcweft-bundle/tests/view_style_program.rs,arcweft-bundle,11149,276,255,test,true,0
crates/arcweft-character/Cargo.toml,arcweft-character,443,23,20,text,false,0
crates/arcweft-character/src/catalog.rs,arcweft-character,13084,383,346,production,true,83
crates/arcweft-character/src/diagnostic.rs,arcweft-character,2943,65,63,production,true,0
crates/arcweft-character/src/id.rs,arcweft-character,7875,225,179,production,true,38
crates/arcweft-character/src/lib.rs,arcweft-character,650,20,10,facade,true,0
crates/arcweft-character/src/manifest/codec.rs,arcweft-character,743,19,12,production,true,0
crates/arcweft-character/src/manifest/diagnostic.rs,arcweft-character,2938,102,95,production,true,0
crates/arcweft-character/src/manifest/fingerprint.rs,arcweft-character,4524,148,126,production,true,0
crates/arcweft-character/src/manifest/limits.rs,arcweft-character,1199,51,40,production,true,0
crates/arcweft-character/src/manifest/model.rs,arcweft-character,26839,873,740,production,true,0
crates/arcweft-character/src/manifest/registration/declaration.rs,arcweft-character,9135,252,240,production,true,0
crates/arcweft-character/src/manifest/registration/structural_json.rs,arcweft-character,12283,366,340,production,true,0
crates/arcweft-character/src/manifest/registration/tests.rs,arcweft-character,20730,604,575,test,true,0
crates/arcweft-character/src/manifest/registration.rs,arcweft-character,36031,1054,997,production,true,0
crates/arcweft-character/src/manifest/tests.rs,arcweft-character,8725,252,239,test,true,0
crates/arcweft-character/src/manifest.rs,arcweft-character,667,20,16,production,true,0
crates/arcweft-character/src/package.rs,arcweft-character,11278,321,273,production,true,36
crates/arcweft-character/src/presentation_name/catalog.rs,arcweft-character,26100,775,678,production,true,16
crates/arcweft-character/src/presentation_name/digest.rs,arcweft-character,3498,107,86,production,true,0
crates/arcweft-character/src/presentation_name/limits.rs,arcweft-character,1376,34,28,production,true,0
crates/arcweft-character/src/presentation_name/locale.rs,arcweft-character,5239,168,134,production,true,0
crates/arcweft-character/src/presentation_name/tests.rs,arcweft-character,19218,641,604,test,true,0
crates/arcweft-character/src/presentation_name/transcript.rs,arcweft-character,5160,162,148,production,true,0
crates/arcweft-character/src/presentation_name/value.rs,arcweft-character,9798,312,260,production,true,0
crates/arcweft-character/src/presentation_name.rs,arcweft-character,1788,42,35,production,true,0
crates/arcweft-character/src/registration_catalog.rs,arcweft-character,2422,70,64,production,true,0
crates/arcweft-character/src/symbol.rs,arcweft-character,1266,42,36,production,true,0
crates/arcweft-character/tests/awchar_package.rs,arcweft-character,5331,163,147,test,true,0
crates/arcweft-character/tests/catalog.rs,arcweft-character,1728,50,48,test,true,0
crates/arcweft-character/tests/fixtures/zundamon.awchar/character.awchar.json,arcweft-character,3411,167,167,text,false,0
crates/arcweft-character/tests/registration_catalog.rs,arcweft-character,2000,55,53,test,true,0
crates/arcweft-character-psd/Cargo.toml,arcweft-character-psd,386,21,18,text,false,0
crates/arcweft-character-psd/src/lib.rs,arcweft-character-psd,24111,746,676,facade,true,32
crates/arcweft-character-psd/tests/zundamon_fixture.rs,arcweft-character-psd,2889,91,85,test,true,0
