"status","path","owning_crate","file_role","current_bytes","current_physical_lines","current_code_lines","embedded_test_lines","parent_physical_lines","physical_line_delta","structural_warnings"
"M","crates/arcweft-compiler/src/agent_effects.rs","arcweft-compiler","production responsibility module","1665","44","43","0","45","-1",""
"M","crates/arcweft-compiler/src/tests.rs","arcweft-compiler","unit test","179339","5350","4980","0","5350","0","SIZE001"
"M","crates/arcweft-core/src/tests/pure.rs","arcweft-core","unit test","46132","1271","1154","0","1271","0",""
"M","crates/arcweft-debug-sqlite/src/store/tests.rs","arcweft-debug-sqlite","test module","47792","1314","1244","0","1314","0",""
"M","crates/arcweft-dialogue/src/lib.rs","arcweft-dialogue","production facade","20713","834","717","0","834","0",""
"M","crates/arcweft-dialogue/src/tests/builder.rs","arcweft-dialogue","unit test","3119","89","83","0","89","0",""
"M","crates/arcweft-dialogue/src/tests/model.rs","arcweft-dialogue","unit test","2880","88","81","0","88","0",""
"M","crates/arcweft-glyphon/src/prepared_text.rs","arcweft-glyphon","production responsibility module","27523","849","748","111","816","33",""
"M","crates/arcweft-interaction-model/src/action.rs","arcweft-interaction-model","production responsibility module","2272","98","80","0","98","0",""
"M","crates/arcweft-interaction-model/tests/model.rs","arcweft-interaction-model","integration test","1997","59","52","0","59","0",""
"M","crates/arcweft-lang-hir/src/lower_dialogue.rs","arcweft-lang-hir","production responsibility module","3754","91","89","0","91","0",""
"M","crates/arcweft-lang-hir/src/lower.rs","arcweft-lang-hir","production responsibility module","11602","350","328","134","350","0",""
"M","crates/arcweft-lang-hir/src/model.rs","arcweft-lang-hir","production responsibility module","23384","969","775","0","969","0",""
"M","crates/arcweft-lang-sema/src/checker.rs","arcweft-lang-sema","production responsibility module","85689","2459","2253","0","2456","3","SIZE001"
"M","crates/arcweft-lang-sema/src/checker/fx.rs","arcweft-lang-sema","production responsibility module","26070","757","714","57","779","-22",""
"M","crates/arcweft-lang-sema/src/checker/helpers.rs","arcweft-lang-sema","production responsibility module","40189","1138","1073","0","1140","-2",""
"M","crates/arcweft-lang-sema/src/checker/line_plan.rs","arcweft-lang-sema","production responsibility module","20626","546","515","0","551","-5",""
"M","crates/arcweft-lang-sema/src/checker/module.rs","arcweft-lang-sema","production responsibility module","80023","2109","1996","0","1986","123","SIZE001"
"A","crates/arcweft-lang-sema/src/dialogue_view.rs","arcweft-lang-sema","production responsibility module","14922","380","318","108","0","380",""
"M","crates/arcweft-lang-sema/src/env.rs","arcweft-lang-sema","production responsibility module","45399","1365","1134","41","1269","96","SIZE001;TEST001"
"M","crates/arcweft-lang-sema/src/lib.rs","arcweft-lang-sema","production facade","697","31","24","0","30","1",""
"M","crates/arcweft-lang-sema/src/project_index/entities.rs","arcweft-lang-sema","production responsibility module","33425","942","904","0","945","-3",""
"M","crates/arcweft-lang-sema/src/resolve.rs","arcweft-lang-sema","production responsibility module","10152","300","272","0","301","-1",""
"M","crates/arcweft-lang-sema/src/tests/choice.rs","arcweft-lang-sema","unit test","19088","642","592","0","644","-2",""
"M","crates/arcweft-lang-sema/src/tests/declarations.rs","arcweft-lang-sema","unit test","45253","1505","1370","0","1503","2",""
"M","crates/arcweft-lang-sema/src/tests/dialogue.rs","arcweft-lang-sema","unit test","24478","773","706","0","764","9",""
"M","crates/arcweft-lang-sema/src/tests/fx.rs","arcweft-lang-sema","unit test","5616","266","237","0","255","11",""
